case_name,disturbance,torque_peak_Nm,method,status,rmse_m,mae_m,maximum_error_m,resolution_m,nominal_step_m,robustness_score,degradation_ratio,seed,error_message
ideal,ideal,8,Patent 1/4,ok,2.80982646572075e-06,2.39334425139413e-06,4.99783511199512e-06,1.47245087382035e-06,5e-06,0.181959701963823,1,20260916,
ideal,ideal,8,Patent 1/16,ok,7.18820758933684e-07,6.22354746146757e-07,1.24977831142007e-06,3.59781242353343e-07,1.25e-06,0.465091788354226,1,20260916,
ideal,ideal,8,Patent 1/32,ok,3.59827198148709e-07,3.11572637201229e-07,6.24889155710035e-07,1.80039727080327e-07,6.25e-07,0.634629101607757,1,20260916,
ideal,ideal,8,Traditional atan2,ok,1.24311694450841e-07,1.08506066313214e-07,2.07348924526067e-07,1.19838199907859e-07,NaN,0.834098819794949,1,20260916,
ideal,ideal,8,Existing improved,ok,1.45883677106514e-07,1.21620505138118e-07,2.84452755042115e-07,1.31017032992529e-07,NaN,0.810757859533252,1,20260916,
amplitude_mismatch,amplitude mismatch,8,Patent 1/4,ok,2.80982646572075e-06,2.39334425139413e-06,4.99783511199512e-06,1.47245087382035e-06,5e-06,0.181959701963823,1,20260917,
amplitude_mismatch,amplitude mismatch,8,Patent 1/16,ok,9.32136500360954e-07,7.5665479858901e-07,2.10066566947217e-06,7.15742168254439e-07,1.25e-06,0.401377785348376,1.29675790351924,20260917,
amplitude_mismatch,amplitude mismatch,8,Patent 1/32,ok,7.03855377805087e-07,5.88075703439512e-07,1.50275961713147e-06,6.41062590784618e-07,6.25e-07,0.470329586228061,1.95609276182118,20260917,
amplitude_mismatch,amplitude mismatch,8,Traditional atan2,ok,6.30478933181593e-07,5.61183778621699e-07,1.02648218840754e-06,6.25544900137909e-07,NaN,0.497817990793478,5.07175882338981,20260917,
amplitude_mismatch,amplitude mismatch,8,Existing improved,ok,1.45883677106514e-07,1.21620505138117e-07,2.84452755042113e-07,1.31017032992529e-07,NaN,0.810757859533253,0.999999999999996,20260917,
phase_error,phase error,8,Patent 1/4,ok,2.54479569233202e-06,2.1095163210435e-06,4.99503115714767e-06,1.48963887668925e-06,5e-06,0.197173591191358,0.905677173796302,20260918,
phase_error,phase error,8,Patent 1/16,ok,5.25256618595993e-07,4.29707731670676e-07,1.24503115714767e-06,4.4211366750225e-07,1.25e-06,0.543357012596787,0.73071987984205,20260918,
phase_error,phase error,8,Patent 1/32,ok,3.1605551947596e-07,2.62610075917698e-07,7.1738681807776e-07,3.14896360155114e-07,6.25e-07,0.664147850009997,0.878353612795387,20260918,
phase_error,phase error,8,Traditional atan2,ok,4.68547344603586e-07,3.72111352982046e-07,9.20747439414402e-07,2.84869704488547e-07,NaN,0.571534468154705,3.76913327964387,20260918,
phase_error,phase error,8,Existing improved,ok,1.45883677106707e-07,1.21620505138206e-07,2.84452755042789e-07,1.31017032992566e-07,NaN,0.810757859533049,1.00000000000132,20260918,
dc_offset,DC offset,8,Patent 1/4,ok,2.89270969496374e-06,2.48341580758153e-06,5.23549251088687e-06,1.48394561649602e-06,5e-06,0.177672421602841,1.02949763277346,20260919,
dc_offset,DC offset,8,Patent 1/16,ok,8.0655557994461e-07,7.12412087129141e-07,1.50470281655642e-06,3.79615946946045e-07,1.25e-06,0.436588008706014,1.12205382206974,20260919,
dc_offset,DC offset,8,Patent 1/32,ok,4.56089670149312e-07,4.02954063623558e-07,8.89307969391191e-07,2.16371722698814e-07,6.25e-07,0.578120406898051,1.26752416853386,20260919,
dc_offset,DC offset,8,Traditional atan2,ok,1.24311694450841e-07,1.08506066313213e-07,2.07348924526066e-07,1.19838199907858e-07,NaN,0.834098819794949,0.999999999999996,20260919,
