temperature_C,torque_true_Nm,shear_modulus_Pa,torsional_sensitivity_rad_per_Nm,sensitivity_variation,grating_period_m,phase_rad,phase_error_rad,torque_off_Nm,torque_off_error_Nm,torque_on_Nm,torque_on_error_Nm,displacement_true_m,displacement_off_m,displacement_off_error_m,displacement_on_m,displacement_on_error_m,parameter_source
-20,-8,79948000000,0.000373262018183449,-0.0118577075098815,1.99904e-05,-6.56992196200141,0.0756476582517553,-7.90893462854265,0.0910653714573515,-8,0,-2.09026730182731e-05,-2.09127111196105e-05,-1.00381013374147e-08,-2.09026730182731e-05,0,simulation/default
-20,-4,79948000000,0.000373262018183449,-0.0118577075098815,1.99904e-05,-3.2849609810007,0.0378238291258777,-3.95446731427132,0.0455326857286757,-4,0,-1.04513365091366e-05,-1.04563555598053e-05,-5.01905066870734e-09,-1.04513365091366e-05,0,simulation/default
-20,-1,79948000000,0.000373262018183449,-0.0118577075098815,1.99904e-05,-0.821240245250176,0.00945595728146942,-0.988616828567831,0.0113831714321689,-1,0,-2.61283412728414e-06,-2.61408888995132e-06,-1.25476266717683e-09,-2.61283412728414e-06,0,simulation/default
-20,0,79948000000,0.000373262018183449,-0.0118577075098815,1.99904e-05,0,0,0,0,0,0,0,0,0,0,0,simulation/default
-20,1,79948000000,0.000373262018183449,-0.0118577075098815,1.99904e-05,0.821240245250176,-0.00945595728146942,0.988616828567831,-0.0113831714321689,1,0,2.61283412728414e-06,2.61408888995132e-06,1.25476266717683e-09,2.61283412728414e-06,0,simulation/default
-20,4,79948000000,0.000373262018183449,-0.0118577075098815,1.99904e-05,3.2849609810007,-0.0378238291258777,3.95446731427132,-0.0455326857286757,4,0,1.04513365091366e-05,1.04563555598053e-05,5.01905066870734e-09,1.04513365091366e-05,0,simulation/default
-20,8,79948000000,0.000373262018183449,-0.0118577075098815,1.99904e-05,6.56992196200141,-0.0756476582517553,7.90893462854265,-0.0910653714573515,8,0,2.09026730182731e-05,2.09127111196105e-05,1.00381013374147e-08,2.09026730182731e-05,0,simulation/default
0,-8,79474000000,0.000375488233003628,-0.00596421471172959,1.99952e-05,-6.60751982091324,0.0380497993399178,-7.95419528917557,0.0458047108244344,-8,0,-2.10273410482032e-05,-2.10323888215204e-05,-5.04777331716675e-09,-2.10273410482032e-05,0,simulation/default
0,-4,79474000000,0.000375488233003628,-0.00596421471172959,1.99952e-05,-3.30375991045662,0.0190248996699589,-3.97709764458778,0.0229023554122172,-4,0,-1.05136705241016e-05,-1.05161944107602e-05,-2.52388665858338e-09,-1.05136705241016e-05,0,simulation/default
0,-1,79474000000,0.000375488233003628,-0.00596421471172959,1.99952e-05,-0.825939977614156,0.00475622491748973,-0.994274411146946,0.0057255888530543,-1,0,-2.6284176310254e-06,-2.62904860269005e-06,-6.30971664645844e-10,-2.6284176310254e-06,0,simulation/default
0,0,79474000000,0.000375488233003628,-0.00596421471172959,1.99952e-05,0,0,0,0,0,0,0,0,0,0,0,simulation/default
0,1,79474000000,0.000375488233003628,-0.00596421471172959,1.99952e-05,0.825939977614156,-0.00475622491748973,0.994274411146946,-0.0057255888530543,1,0,2.6284176310254e-06,2.62904860269005e-06,6.30971664645844e-10,2.6284176310254e-06,0,simulation/default
0,4,79474000000,0.000375488233003628,-0.00596421471172959,1.99952e-05,3.30375991045662,-0.0190248996699589,3.97709764458778,-0.0229023554122172,4,0,1.05136705241016e-05,1.05161944107602e-05,2.52388665858338e-09,1.05136705241016e-05,0,simulation/default
0,8,79474000000,0.000375488233003628,-0.00596421471172959,1.99952e-05,6.60751982091324,-0.0380497993399178,7.95419528917557,-0.0458047108244344,8,0,2.10273410482032e-05,2.10323888215204e-05,5.04777331716675e-09,2.10273410482032e-05,0,simulation/default
20,-8,79000000000,0.00037774116240165,0,2e-05,-6.64556962025316,0,-8,0,-8,0,-2.11535050944924e-05,-2.11535050944924e-05,0,-2.11535050944924e-05,0,simulation/default
